article,is_tk,is_han,name_id,is_engi
孫奐,TRUE,FALSE,孫奐,FALSE
孫軽,TRUE,FALSE,孫軽,FALSE
宋果,TRUE,FALSE,宋果,FALSE
左丞祖,TRUE,FALSE,左丞祖,FALSE
張尚,TRUE,FALSE,張尚中国前漢の人物。呉楚七国の乱の際に楚の宰相を務めていた。弟は張羽。中国呉に仕えた人物。以下を参照。中国晋,FALSE
張粛,TRUE,FALSE,張粛,FALSE
攴胡赤児,TRUE,FALSE,攴胡赤児,FALSE
李利,TRUE,TRUE,李利,FALSE
李歴,TRUE,FALSE,李歴,FALSE
楊任,TRUE,FALSE,楊任,FALSE
楊弘_(後漢),TRUE,FALSE,楊弘,FALSE
武周_(三国),TRUE,FALSE,武周,FALSE
殷礼,TRUE,FALSE,殷礼,FALSE
沮俊,TRUE,TRUE,沮俊,FALSE
涼茂,TRUE,FALSE,涼茂,FALSE
程奐,TRUE,FALSE,程奐,FALSE
繆尚,TRUE,FALSE,繆尚,FALSE
耿武,TRUE,FALSE,耿武,FALSE
舒邵,TRUE,FALSE,舒邵,FALSE
蒋奇,TRUE,FALSE,蒋奇,FALSE
蘇由,TRUE,FALSE,蘇由,FALSE
趙浮,TRUE,FALSE,趙浮,FALSE
閔純,TRUE,FALSE,閔純,FALSE
閻象,TRUE,FALSE,閻象,FALSE
陳就,TRUE,FALSE,陳就,FALSE
陳紀_(九江太守),TRUE,FALSE,陳紀,FALSE
雷緒,TRUE,FALSE,雷緒,FALSE
馬延,TRUE,FALSE,馬延,FALSE
高祚,TRUE,FALSE,高祚,FALSE
仲長統,TRUE,TRUE,仲長統,FALSE
卑衍,TRUE,FALSE,卑衍,FALSE
司馬芝,TRUE,FALSE,司馬芝,FALSE
孫資,TRUE,FALSE,孫資,FALSE
曹詢,TRUE,FALSE,曹詢,FALSE
服虔,TRUE,TRUE,服虔,FALSE
辛憲英,TRUE,FALSE,辛憲英,FALSE
傅玄,TRUE,FALSE,傅玄,FALSE
呂壱,TRUE,FALSE,呂壱,FALSE
和洽,TRUE,FALSE,和洽,FALSE
崔林,TRUE,FALSE,崔林,FALSE
張存,TRUE,FALSE,張存,FALSE
李邵,TRUE,FALSE,李邵,FALSE
王嗣,TRUE,FALSE,王嗣,FALSE
習禎,TRUE,FALSE,習禎,FALSE
蒋舒,TRUE,FALSE,蒋舒,FALSE
衛覬,TRUE,FALSE,衛覬,FALSE
輔匡,TRUE,FALSE,輔匡,FALSE
馬斉,TRUE,FALSE,馬斉,FALSE
何宗,TRUE,FALSE,何宗,FALSE
司馬防,TRUE,FALSE,司馬防,FALSE
常林,TRUE,FALSE,常林,FALSE
王必,TRUE,FALSE,王必,FALSE
聶友,TRUE,FALSE,聶友,FALSE
胡済,TRUE,FALSE,胡済,FALSE
賈範,TRUE,FALSE,賈範,FALSE
鍾毓,TRUE,FALSE,鍾毓,FALSE
曹操,TRUE,TRUE,曹操,FALSE
諸葛亮,TRUE,TRUE,諸葛亮,FALSE
カイ越,TRUE,FALSE,蒯越,FALSE
ホウ統,TRUE,FALSE,龐統,FALSE
何晏,TRUE,FALSE,何晏,FALSE
司馬師,TRUE,FALSE,司馬師,FALSE
司馬懿,TRUE,FALSE,司馬懿,FALSE
司馬昭,TRUE,FALSE,司馬昭,FALSE
司馬炎,TRUE,FALSE,司馬炎,FALSE
呂範,TRUE,FALSE,呂範,FALSE
周瑜,TRUE,TRUE,周瑜,FALSE
夏侯淵,TRUE,FALSE,夏侯淵,FALSE
夏侯覇,TRUE,FALSE,夏侯覇,FALSE
